"Client.Type","Account","ACV_2022","ACV_2023","ACV_2024","First_Record_Type_Name","First_Opportunity_ID"
"End Client","0015Y00004htgg0",0,0,5000,"Cost Seg","006TO000002YtVm"
"End Client","0015Y00004htvPs",0,5000,0,"Cost Seg","006TO000001U05H"
"End Client","0015Y00004htvjo",0,11000,0,"Cost Seg","0065Y00001gYU8u"
"End Client","0015Y00004htw0O",0,6750,0,"Cost Seg","0065Y00001gZNSu"
"End Client","0015Y00004hty08",0,2400,0,"Cost Seg","0065Y00001gYUIQ"
"End Client","0015Y00004hu4WO",0,14500,0,"Cost Seg","0065Y00001gYUmI"
"End Client","0015Y00004hu50K",0,7650,0,"Cost Seg","0065Y00001gOIXE"
"End Client","0015Y00004hu5us",0,8500,0,"Cost Seg","0065Y00001gYUzv"
"End Client","0015Y00004hvVpR",0,8800,0,"Cost Seg","0065Y00001gYVeL"
"End Client","0015Y00004hvWkj",0,6000,0,"Cost Seg","0065Y00001gYVgC"
"End Client","0015Y00004hvjVq",0,25000,0,"R&D","0065Y00001gYWGH"
"End Client","0015Y00004hvzpU",0,8460,0,"Cost Seg","0065Y00001iNh6H"
"End Client","0015Y00004hw0az",0,49903.94,0,"ERC","0065Y00001gYWxu"
"CPA","0015Y00004hw1lT",0,78982.53,0,"Channel Referral","0065Y00001gYWyx"
"End Client","0015Y00004hw2m3",0,7900,0,"Cost Seg","0065Y00001gYX5c"
"End Client","0015Y00004hwaSo",0,6117.6,0,"R&D","0065Y00001gYXvc"
"End Client","0015Y00004hwfJp",0,7000,0,"Cost Seg","0065Y00001gYY1Q"
"End Client","0015Y00004hwqyV",0,5000,0,"Cost Seg","0065Y00001gYYOw"
"End Client","0015Y00004kOhS8",0,14400,0,"Energy","0065Y00001gYaFP"
"End Client","0015Y00004kOk37",0,4060.4,0,"GOAT.tax","0065Y00001ja8uL"
"End Client","0015Y00004kOkR7",0,147224.86,0,"ERC","0065Y00001gYZRv"
"End Client","0015Y00004kOlzQ",0,7900,0,"Cost Seg","0065Y00001gYZXy"
"End Client","0015Y00004kOqP3",0,4500,0,"Cost Seg","0065Y00001gYZjG"
"End Client","0015Y00004kOqtV",0,8500,0,"Cost Seg","0065Y00001gYZkn"
"End Client","0015Y00004kOvQo",0,3900,0,"Cost Seg","0065Y00001gYZuO"
"End Client","0015Y00004kP8Ia",0,6900,0,"Cost Seg","0065Y00001gYaD9"
"End Client","0015Y00004kP9C3",0,2200,0,"Cost Seg","0065Y00001gYaHG"
"End Client","0015Y00004kPAAj",0,0,65000,"R&D","0065Y00001gYaKs"
"End Client","0015Y00004kPDX8",0,40748.13,0,"ERC","0065Y00001gYaVk"
"End Client","0015Y00004kPDv6",0,13130.12,0,"ERC","0065Y00001gYaXW"
"End Client","0015Y00004kPEiQ",0,83000,0,"R&D","0065Y00001gYTB9"
"End Client","0015Y00004kPH6e",0,6500,0,"Cost Seg","0065Y00001gYahC"
"End Client","0015Y00004kPKNx",0,7830,0,"Cost Seg","0065Y00001gYieo"
"End Client","0015Y00004kPLVS",0,6000,0,"Cost Seg","0065Y00001gYaq7"
"End Client","0015Y00004kPNS8",0,8000,0,"Cost Seg","0065Y00001gYi2E"
"End Client","0015Y00004kQo6r",0,124022.06,0,"ERC","0065Y00001gYbHN"
"End Client","0015Y00004kQpVb",0,5000,0,"Cost Seg","006TO000000qWAH"
"End Client","0015Y00004kQskj",0,2160,0,"Energy","0065Y00001gZCK1"
"End Client","0015Y00004kQu0j",0,5000,0,"Cost Seg","0065Y00001gYAos"
"End Client","0015Y00004kQufg",0,7120,0,"Cost Seg","0065Y00001gYcmD"
"End Client","0015Y00004kQyfN",0,9000,0,"Cost Seg","0065Y00001gY8Gc"
"End Client","0015Y00004kQzvc",0,6500,0,"Cost Seg","0065Y00001gYbvT"
"End Client","0015Y00004kRHKK",0,4500,0,"Cost Seg","0065Y00001gYcBU"
"End Client","0015Y00004kRIi3",0,19000,0,"R&D","0065Y00001gYcPX"
"End Client","0015Y00004kRJwv",0,208250,0,"R&D","0065Y00001gYcYZ"
"End Client","0015Y00004kRKf9",0,4500,0,"Cost Seg","0065Y00001gYcZD"
"End Client","0015Y00004kRKqy",0,3500,0,"Cost Seg","0065Y00001gYcZN"
"End Client","0015Y00004kRRFC",0,9500,0,"Cost Seg","0065Y00001gYcnd"
"End Client","0015Y00004kRTG5",0,22500,0,"Cost Seg","0065Y00001gYcvr"
"End Client","0015Y00004kRon5",0,51483.75,0,"ERC","0065Y00001gYddW"
"End Client","0015Y00004kRpB6",0,6500,0,"Cost Seg","0065Y00001gYdZZ"
"End Client","0015Y00004mgcZn",0,23000,0,"Energy","0065Y00001gYeM0"
"End Client","0015Y00004mgeND",0,0,20825,"Cost Seg","006TO000003aEHG"
"End Client","0015Y00004mgek6",0,6100,0,"Cost Seg","0065Y00001gYekx"
"End Client","0015Y00004mggp0",0,10000,0,"LIFO - IPIC / Internal","0065Y00001gYeT7"
"End Client","0015Y00004mh579",0,45000,0,"R&D","0065Y00001gYfTH"
"End Client","0015Y00004mhHeL",0,96000,0,"R&D","0065Y00001gYfkN"
"End Client","0015Y00004mhK0C",0,8630,0,"Cost Seg","0065Y00001gYfpN"
"End Client","0015Y00004misnd",0,24570,0,"Energy","0065Y00001gYgVD"
"End Client","0015Y00004mivYQ",0,8000,0,"Cost Seg","0065Y00001gYgbf"
"End Client","0015Y00004miwep",0,11700,0,"Cost Seg","0065Y00001gYgeZ"
"End Client","0015Y00004miyWF",0,20087.21,0,"ERC","0065Y00001gYgiR"
"End Client","0015Y00004mj6O7",0,15000,0,"R&D","0065Y00001gYgpX"
"End Client","0015Y00004mjK9O",0,5950,0,"Cost Seg","0065Y00001gYdDE"
"CPA","0015Y00004mjLvl",0,0,3250,"Cost Seg","006TO000002OZ0H"
"End Client","0015Y00004mjNkh",0,6500,0,"Cost Seg","0065Y00001gYhLx"
"End Client","0015Y00004mjS2K",0,7500,0,"Cost Seg","0065Y00001fqjDn"
"End Client","0015Y00004mjUHJ",0,23800,0,"LIFO - IPIC / Internal","0065Y00001gYhaO"
"End Client","0015Y00004mjVgb",0,8000,0,"Cost Seg","0065Y00001gYhco"
"End Client","0015Y00004mjxxm",0,6800,0,"Cost Seg","0065Y00001gYcmr"
"End Client","0015Y00004mk177",0,10750,0,"Cost Seg","0065Y00001ja5GC"
"End Client","0015Y00004mkAJ1",0,6800,0,"Cost Seg","0065Y00001gYiUZ"
"End Client","0015Y00004mkDtL",0,8925,0,"Cost Seg","0065Y00001gYigB"
"End Client","0015Y00004mkWsk",0,3850,0,"Cost Seg","0065Y00001gYixJ"
"End Client","0015Y00004mkbSX",0,6500,0,"Cost Seg","0065Y00001gYjBs"
"End Client","0015Y00004mkbZu",0,25654.45,0,"ERC","0065Y00001gYjCR"
"End Client","0015Y00004mkeTm",0,8000,0,"Cost Seg","0065Y00001gYjJw"
"End Client","0015Y00004mkfXs",0,13000,0,"Cost Seg","0065Y00001gYlyo"
"End Client","0015Y00004mkjPl",0,0,3234.2,"GOAT.tax","006TO000002gv2Q"
"End Client","0015Y00004mkkI5",0,7225,0,"Cost Seg","0065Y00001gYjZx"
"End Client","0015Y00004mkkSd",0,10500,0,"Cost Seg","0065Y00001gYjaH"
"End Client","0015Y00004on3on",0,8500,0,"Cost Seg","0065Y00001gYk2T"
"CPA","0015Y00004on588",0,246760.43,0,"ERC","0065Y00001gYk8c"
"End Client","0015Y00004on7wu",0,0,8500,"Cost Seg","0065Y00001gYkHA"
"End Client","0015Y00004on83H",0,7900,0,"Cost Seg","0065Y00001gYkHP"
